
Samba version 3.6.6
PID     Username      Group         Machine                        
-------------------------------------------------------------------

Service      pid     machine       Connected at
-------------------------------------------------------
Klюkva      29467   klukva-sklad  Tue Aug 15 16:05:59 2017
1c82         5498   desktop-lera  Tue Aug 15 13:45:42 2017
Klюkva      18884   klukvachef    Tue Aug 15 14:36:28 2017
1c82         5568   avkassa       Tue Aug 15 12:43:09 2017
cucina       26028   op_159        Tue Aug 15 15:38:16 2017
avanti       20031   w7p           Tue Aug 15 14:45:24 2017
cucina       3740   pdo5          Tue Aug 15 07:46:59 2017
Klюkva      18431   klu3667-2     Tue Aug 15 09:52:54 2017
cucina       4346   frolovans     Tue Aug 15 07:52:24 2017
1c82         4987   avsklad1      Tue Aug 15 07:58:53 2017
cu1c         4994   pdochief      Tue Aug 15 07:59:50 2017
1c82         6143   avoopt1       Tue Aug 15 12:49:12 2017
1c82         4917   avsale4       Tue Aug 15 07:56:40 2017
1c82         10157   avsale5       Tue Aug 15 08:42:32 2017
1c82         5571   avsale6       Tue Aug 15 08:04:31 2017
IPC$         6827   dimas         Tue Aug 15 08:14:09 2017
Klюkva      5496   cucbuh2       Tue Aug 15 10:12:05 2017
1c82         18388   avanti-loginova  Tue Aug 15 14:33:44 2017
cucina       4351   op-free       Tue Aug 15 07:52:50 2017
Klюkva      15533   klu3667-1     Tue Aug 15 09:28:21 2017
cu1c         3179   veronika      Tue Aug 15 07:42:32 2017
IPC$         20723   cucbuh2       Tue Aug 15 10:12:13 2017
cu1c         6174   cucbuh7       Tue Aug 15 08:08:01 2017
1c82         5490   avmng9        Tue Aug 15 08:01:12 2017
cu1c         6176   cucmng2       Tue Aug 15 08:08:16 2017
cucina       5495   pdo6          Tue Aug 15 11:22:36 2017
Klюkva      27697   op198         Tue Aug 15 11:14:27 2017
1c82         6830   avbuha        Tue Aug 15 08:14:44 2017
cucina       5570   suvorova      Tue Aug 15 08:04:30 2017
cu1c         5495   pdo6          Tue Aug 15 08:02:25 2017
1c82         4993   steklosklad   Tue Aug 15 07:59:50 2017
1c82         7324   avsale1       Tue Aug 15 08:15:44 2017
cucina       26024   samoilova     Tue Aug 15 15:36:31 2017
1c82         6167   av-17         Tue Aug 15 09:23:09 2017
1c82         9027   avzak2        Tue Aug 15 08:34:27 2017
avanti       9027   avzak2        Tue Aug 15 08:38:29 2017
avanti       6167   av-17         Tue Aug 15 08:06:47 2017
Раскрой   26031   pdo2          Tue Aug 15 15:39:24 2017
cucina       28773   hairullinrb   Tue Aug 15 11:21:02 2017
cucina       21831   desktop-ulvm95u  Tue Aug 15 15:01:44 2017
cu1c         5496   cucbuh2       Tue Aug 15 08:02:28 2017
cu1c         6169   cucmng1       Tue Aug 15 08:07:04 2017
Klюkva      13835   raul-pc       Tue Aug 15 13:53:32 2017
1c82         4348   avbuh2        Tue Aug 15 07:52:41 2017
Klюkva      10863   matveevvv     Tue Aug 15 13:28:45 2017
avanti       5498   desktop-lera  Tue Aug 15 08:02:31 2017
Klюkva      7898   smal          Tue Aug 15 08:21:50 2017

Locked files:
Pid          Uid        DenyMode   Access      R/W        Oplock           SharePath   Name   Time
--------------------------------------------------------------------------------------------------
18431        1070       DENY_NONE  0x81        RDONLY     NONE             /home/exch/klukva   Заказы/2017г/03. Март   Tue Aug 15 15:58:59 2017
18431        1070       DENY_NONE  0x81        RDONLY     NONE             /home/exch/klukva   Заказы/2017г/03. Март   Tue Aug 15 15:58:59 2017
15533        1064       DENY_NONE  0x20089     RDONLY     NONE             /home/exch/klukva   Заказы/2017г/08. Август/Д-08.31 (ООО Страна Чудес).xlsx   Tue Aug 15 09:33:56 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Киселев/1Cv8.1CD   Tue Aug 15 08:04:42 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Киселев/1Cv8.1CD   Tue Aug 15 08:11:39 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Киселев/1Cv8.1CD   Tue Aug 15 08:12:20 2017
4346         1028       DENY_WRITE 0x2019f     RDWR       NONE             /home/exch/cucina   ОП/Оксана Камаева/12_06_2017_Бланк заказа МУ.xlsm   Tue Aug 15 16:01:17 2017
20031        1062       DENY_NONE  0x100081    RDONLY     NONE             /home/exch/avanti   Cтекольная/Архив Фотопечати (заявки)/4893   Tue Aug 15 14:45:25 2017
3179         1017       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Киселев/1Cv8Log/1Cv8.lgd   Tue Aug 15 08:04:59 2017
5496         1022       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/cu1c   БП Киселев/1Cv8Log/1Cv8.lgd   Tue Aug 15 08:11:53 2017
6174         1016       DENY_ALL   0x20196     WRONLY     EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8FTxt/checkout.dat   Tue Aug 15 16:11:00 2017
20031        1062       DENY_NONE  0x100081    RDONLY     NONE             /home/exch/avanti   Cтекольная/Архив Фотопечати (заявки)   Tue Aug 15 14:45:24 2017
6174         1016       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Неверов/1Cv8Log/1Cv8.lgd   Tue Aug 15 08:08:14 2017
4348         1010       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   Trade/1Cv8.1CL   Tue Aug 15 07:52:41 2017
6830         1003       DENY_NONE  0x2019f     RDWR       NONE             /home/db1/1c82   Trade/1Cv8.1CL   Tue Aug 15 08:14:44 2017
6174         1016       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Спиридонов/1Cv8.1CL   Tue Aug 15 08:39:04 2017
15533        1064       DENY_NONE  0x20089     RDONLY     NONE             /home/exch/klukva   Заказы/2017г/08. Август/Д-08.215 (ООО Страна Чудес).xlsx   Tue Aug 15 10:31:20 2017
6174         1016       DENY_NONE  0x2019f     RDWR       EXCLUSIVE+BATCH  /home/db1/cu1c   ЗУП Хайруллин/1Cv8tmp.1CL   Tue Aug 15 13:16:20 2017
